player,team,stat_type,line_score
Pascal Siakam,IND,Two Pointers Made,6.0
Pascal Siakam,IND,Two Pointers Attempted,12.0
Tyrese Haliburton,IND,Two Pointers Attempted,6.0
Shai Gilgeous-Alexander,OKC,3-PT Attempted,5.0
Myles Turner,IND,PTS,14.0
Myles Turner,IND,REB,5.0
Myles Turner,IND,Pts+Rebs+Asts,20.0
Myles Turner,IND,Pts+Rebs,19.0
Myles Turner,IND,3-PT Made,1.5
Myles Turner,IND,Rebs+Asts,6.0
Myles Turner,IND,FG Attempted,10.5
Myles Turner,IND,FG Made,4.5
Myles Turner,IND,Pts+Asts,15.5
T.J. McConnell,IND,Rebs+Asts,5.5
T.J. McConnell,IND,PTS,7.5
T.J. McConnell,IND,Steals,0.5
T.J. McConnell,IND,Pts+Asts,10.5
T.J. McConnell,IND,Pts+Rebs+Asts,13.0
T.J. McConnell,IND,AST,3.5
T.J. McConnell,IND,Pts+Rebs,9.5
Luguentz Dort,OKC,Pts+Rebs+Asts,13.5
Luguentz Dort,OKC,Pts+Asts,9.5
Luguentz Dort,OKC,Pts+Rebs,12.0
Luguentz Dort,OKC,Rebs+Asts,4.5
Luguentz Dort,OKC,PTS,8.5
Luguentz Dort,OKC,REB,3.5
Kenrich Williams,OKC,Pts+Rebs,5.5
Kenrich Williams,OKC,AST,0.5
Kenrich Williams,OKC,Pts+Asts,3.5
Kenrich Williams,OKC,PTS,2.5
Aaron Wiggins,OKC,3-PT Made,0.5
Aaron Wiggins,OKC,FG Made,1.5
Aaron Wiggins,OKC,AST,0.5
Aaron Wiggins,OKC,Pts+Rebs+Asts,7.5
Aaron Wiggins,OKC,Rebs+Asts,2.5
Aaron Wiggins,OKC,PTS,5.0
Aaron Wiggins,OKC,Pts+Rebs,7.5
Aaron Wiggins,OKC,Pts+Asts,5.5
Jalen Williams,OKC,Pts+Asts,27.5
Jalen Williams,OKC,Free Throws Attempted,5.5
Jalen Williams,OKC,FG Attempted,17.5
Jalen Williams,OKC,Pts+Rebs+Asts,33.5
Jalen Williams,OKC,PTS,22.5
Jalen Williams,OKC,Pts+Rebs,28.5
Jalen Williams,OKC,Two Pointers Attempted,12.5
Jalen Williams,OKC,REB,5.5
Jalen Williams,OKC,Free Throws Made,4.5
Jalen Williams,OKC,Rebs+Asts,10.5
Jalen Williams,OKC,3-PT Made,1.5
Jalen Williams,OKC,3-PT Attempted,4.5
Jalen Williams,OKC,FG Made,8.0
Jalen Williams,OKC,Two Pointers Made,6.5
Jalen Williams,OKC,Points In First 5 Minutes,2.5
Jalen Williams,OKC,PRA In First 5 Minutes,4.0
Jalen Williams,OKC,AST,5.0
Jalen Williams,OKC,FG Made,8.5
Andrew Nembhard,IND,Rebs+Asts,7.5
Andrew Nembhard,IND,Free Throws Made,1.5
Andrew Nembhard,IND,FG Made,4.0
Andrew Nembhard,IND,Pts+Rebs+Asts,18.0
Andrew Nembhard,IND,PTS,10.5
Andrew Nembhard,IND,Pts+Asts,14.5
Andrew Nembhard,IND,Pts+Rebs,14.0
Andrew Nembhard,IND,AST,4.0
Aaron Nesmith,IND,FG Made,3.5
Aaron Nesmith,IND,PTS,10.5
Aaron Nesmith,IND,Rebs+Asts,6.0
Aaron Nesmith,IND,REB,5.0
Aaron Nesmith,IND,Free Throws Made,1.5
Aaron Nesmith,IND,Pts+Rebs+Asts,17.0
Aaron Nesmith,IND,Pts+Rebs,16.0
Aaron Nesmith,IND,Pts+Asts,12.0
Bennedict Mathurin,IND,Pts+Rebs,12.0
Bennedict Mathurin,IND,Pts+Asts,10.0
Bennedict Mathurin,IND,Pts+Rebs+Asts,13.0
Bennedict Mathurin,IND,Free Throws Made,3.0
Bennedict Mathurin,IND,PTS,9.0
Bennedict Mathurin,IND,FG Made,2.5
Isaiah Joe,OKC,PTS,2.5
Chet Holmgren,OKC,3-PT Attempted,3.5
Chet Holmgren,OKC,Pts+Rebs,24.5
Chet Holmgren,OKC,Blocked Shots,1.5
Chet Holmgren,OKC,Rebs+Asts,10.5
Chet Holmgren,OKC,Two Pointers Made,4.5
Chet Holmgren,OKC,PTS,15.5
Chet Holmgren,OKC,FG Made,5.5
Chet Holmgren,OKC,REB,9.0
Chet Holmgren,OKC,Pts+Rebs+Asts,26.5
Chet Holmgren,OKC,FG Attempted,11.5
Chet Holmgren,OKC,Free Throws Made,3.0
Chet Holmgren,OKC,Pts+Asts,16.5
Obi Toppin,IND,REB,5.5
Obi Toppin,IND,FG Made,3.5
Obi Toppin,IND,Pts+Asts,11.5
Obi Toppin,IND,Pts+Rebs+Asts,17.5
Obi Toppin,IND,Pts+Rebs,15.5
Obi Toppin,IND,PTS,10.5
Obi Toppin,IND,Rebs+Asts,7.0
Ben Sheppard,IND,PTS,2.5
Ben Sheppard,IND,Pts+Rebs+Asts,4.5
Cason Wallace,OKC,REB,2.5
Cason Wallace,OKC,Pts+Rebs,8.0
Cason Wallace,OKC,PTS,5.0
Cason Wallace,OKC,AST,1.5
Cason Wallace,OKC,Pts+Asts,7.0
Cason Wallace,OKC,Pts+Rebs+Asts,9.5
Cason Wallace,OKC,3-PT Made,0.5
Cason Wallace,OKC,Turnovers,0.5
Pascal Siakam,IND,FG Made,7.0
Pascal Siakam,IND,REB,7.0
Pascal Siakam,IND,PRA In First 5 Minutes,3.5
Pascal Siakam,IND,3-PT Attempted,3.5
Pascal Siakam,IND,Pts+Asts,22.5
Pascal Siakam,IND,FG Attempted,14.5
Pascal Siakam,IND,Rebs+Asts,10.5
Pascal Siakam,IND,Points In First 5 Minutes,2.5
Pascal Siakam,IND,Pts+Rebs,26.5
Pascal Siakam,IND,Pts+Rebs+Asts,30.0
Pascal Siakam,IND,Blocked Shots,0.5
Pascal Siakam,IND,PTS,19.5
Tyrese Haliburton,IND,Rebs+Asts,13.5
Tyrese Haliburton,IND,Blocked Shots,0.5
Tyrese Haliburton,IND,Pts+Rebs+Asts,30.5
Tyrese Haliburton,IND,AST,8.0
Tyrese Haliburton,IND,Pts+Rebs,22.0
Tyrese Haliburton,IND,PTS,17.5
Tyrese Haliburton,IND,3-PT Made,2.5
Tyrese Haliburton,IND,REB,5.0
Tyrese Haliburton,IND,Pts+Asts,25.5
Tyrese Haliburton,IND,3-PT Attempted,7.5
Tyrese Haliburton,IND,FG Attempted,13.5
Tyrese Haliburton,IND,PRA In First 5 Minutes,3.5
Shai Gilgeous-Alexander,OKC,PRA In First 5 Minutes,5.0
Shai Gilgeous-Alexander,OKC,Two Pointers Attempted,19.5
Shai Gilgeous-Alexander,OKC,Steals,1.5
Shai Gilgeous-Alexander,OKC,FG Made,12.5
Shai Gilgeous-Alexander,OKC,Rebs+Asts,12.0
Shai Gilgeous-Alexander,OKC,Two Pointers Made,11.0
Shai Gilgeous-Alexander,OKC,3-PT Made,1.5
Shai Gilgeous-Alexander,OKC,Free Throws Made,7.5
Shai Gilgeous-Alexander,OKC,AST,6.5
Shai Gilgeous-Alexander,OKC,Pts+Asts,40.5
Shai Gilgeous-Alexander,OKC,Pts+Rebs,40.0
Shai Gilgeous-Alexander,OKC,Points In First 5 Minutes,4.0
Shai Gilgeous-Alexander,OKC,PTS,34.5
Shai Gilgeous-Alexander,OKC,Pts+Rebs+Asts,46.5
Shai Gilgeous-Alexander,OKC,REB,5.5
Shai Gilgeous-Alexander,OKC,FG Attempted,24.5
Alex Caruso,OKC,Blocked Shots,0.5
Alex Caruso,OKC,Pts+Rebs+Asts,17.5
Alex Caruso,OKC,Pts+Asts,13.5
Alex Caruso,OKC,Rebs+Asts,6.5
Alex Caruso,OKC,AST,2.5
Alex Caruso,OKC,REB,4.0
Alex Caruso,OKC,3-PT Made,1.5
Alex Caruso,OKC,FG Made,3.5
Alex Caruso,OKC,PTS,10.5
Alex Caruso,OKC,Free Throws Made,1.5
Alex Caruso,OKC,Pts+Rebs,14.5
Isaiah Hartenstein,OKC,PTS,6.0
Isaiah Hartenstein,OKC,Pts+Rebs,13.5
Isaiah Hartenstein,OKC,REB,7.0
Isaiah Hartenstein,OKC,Pts+Asts,8.0
Isaiah Hartenstein,OKC,Pts+Rebs+Asts,15.5
Isaiah Hartenstein,OKC,Rebs+Asts,9.0
Isaiah Hartenstein,OKC,Steals,0.5
Chet Holmgren + Aaron Nesmith,OKC/IND,Points (Combo),26.5
Chet Holmgren + Myles Turner,OKC/IND,Points (Combo),29.5
Chet Holmgren + Pascal Siakam,OKC/IND,Points (Combo),35.0
Jalen Williams + Pascal Siakam,OKC/IND,Points (Combo),41.5
Jalen Williams + Tyrese Haliburton,OKC/IND,Points (Combo),39.5
Chet Holmgren + Tyrese Haliburton,OKC/IND,Points (Combo),32.5
Alex Caruso + Tyrese Haliburton,OKC/IND,Points (Combo),27.5
Alex Caruso + Myles Turner,OKC/IND,Points (Combo),24.5
Chet Holmgren + Pascal Siakam,OKC/IND,Rebounds (Combo),16.5
Isaiah Hartenstein + Pascal Siakam,OKC/IND,Rebounds (Combo),14.5
Chet Holmgren + Obi Toppin,OKC/IND,Rebounds (Combo),14.5
Isaiah Hartenstein + Obi Toppin,OKC/IND,Rebounds (Combo),12.5
Shai Gilgeous-Alexander + Tyrese Haliburton,OKC/IND,Assists (Combo),14.5
Jalen Williams + Andrew Nembhard,OKC/IND,Assists (Combo),9.0
Jalen Williams + T.J. McConnell,OKC/IND,Assists (Combo),8.5
Luguentz Dort + Myles Turner,OKC/IND,3-PT Made (Combo),3.5
Luguentz Dort + Tyrese Haliburton,OKC/IND,3-PT Made (Combo),4.5
Shai Gilgeous-Alexander + Tyrese Haliburton,OKC/IND,3-PT Made (Combo),4.0
Shai Gilgeous-Alexander + Andrew Nembhard,OKC/IND,Assists (Combo),10.5
